,xi,yi,zi,xf,yf,zf,vxi,vyi,vzi,vxf,vyf,vzf
0,0.10472719770188865,1.7846800977036907,0.5,18.814483527340798,1.9693021144459515,0.5,0.8023977559033892,-0.9236926677953552,0.0,0.07240408006785382,-0.3356046029806403,0.0
1,1.9215615135104651,5.934297785547605,0.5,18.35415898185051,9.689411062997525,0.5,-0.1676219511112511,0.5750710869455791,0.0,-0.9368209195617536,-0.6690497786186773,0.0
2,1.8001164383113089,3.0027905736556013,0.5,19.61609345076464,3.7084667392432524,0.5,0.47436067732205967,-0.2978630788506629,0.0,0.21501642921609676,0.22994350838434552,0.0
3,1.145153478685283,6.202575052971274,0.5,18.912694502584525,6.806162443588458,0.5,-0.056308017965589485,-0.054372426435554067,0.0,-0.6859103340309305,-0.7341036809190236,0.0
4,0.08915158975668103,6.615126022878819,0.5,19.128102359511082,1.8826406241364795,0.5,-0.9403277148573104,0.8802497268174343,0.0,-0.18375028331995003,-0.40161292739573584,0.0
5,1.8800681807016915,3.129833241186777,0.5,19.02302265709602,2.206379393851613,0.5,-0.9424497338351363,-0.6915802759137943,0.0,0.27595946996679466,-0.49677722708724614,0.0
6,1.172195536911915,8.03826132925862,0.5,18.543594569655856,8.95932415285607,0.5,0.7767257644945873,0.910232624393726,0.0,0.26173523403258914,-0.34119795463526437,0.0
7,1.0395558837870407,3.459895179127513,0.5,19.481597358885374,8.179519727538132,0.5,0.2944899716806082,-0.9561265206581075,0.0,-0.519973969740362,-0.32321296301610936,0.0
8,0.6308703776068902,7.92881486245981,0.5,18.17517406333834,3.5814149540119677,0.5,-0.21905306310778538,0.7913526911018427,0.0,-0.3038139706098044,0.18769474276026865,0.0
9,0.824857654508558,4.669498909713732,0.5,19.795516866013244,9.082819300692606,0.5,-0.38579773720327193,0.697169017441994,0.0,0.9164727448311136,0.6718538782957857,0.0
10,0.987665300883144,5.341185218847962,0.5,19.537905344599334,8.27459064830799,0.5,-0.32263870713439236,0.09000238319660725,0.0,0.24182612809747095,0.41882721890773467,0.0
11,0.9682375121582845,2.788913969190746,0.5,19.96775894697339,9.199377957663557,0.5,0.49222121593517754,0.6713397223762396,0.0,-0.9462220422135386,0.5260403377717615,0.0
